,address,days_listed,dealer_rating,make,market_price,mileage,price,year
78,"Hempstead, NY",5 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Audi Q5 2.0T Quattro Premium Plus           Viewed
","Instant Market Value of $24,530","Mileage: 33,151 mi","$19,995 
 $362/est. mo
","2011 Audi Q5 2.0T Quattro Premium Plus           Viewed
"
79,"Maplewood, NJ",2 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2015 Chevrolet Suburban LT 1500 4WD           Viewed
","Instant Market Value of $53,509","Mileage: 6,231 mi","$46,995 
 $851/est. mo
","2015 Chevrolet Suburban LT 1500 4WD           Viewed
"
80,"Brooklyn, NY",46 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Infiniti G37 xAWD           Viewed
","Instant Market Value of $21,875","Mileage: 35,381 mi","$16,890 
 $306/est. mo
","2013 Infiniti G37 xAWD           Viewed
"
81,"Hasbrouck Heights, NJ",48 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2013 Toyota Highlander SE V6 AWD           Viewed
","Instant Market Value of $25,465","Mileage: 44,104 mi","$20,995 
 $381/est. mo
","2013 Toyota Highlander SE V6 AWD           Viewed
"
82,"Brooklyn, NY",8 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Audi Q5 3.2 Prestige           Viewed
","Instant Market Value of $21,503","Mileage: 66,149 mi","$16,890 
 $306/est. mo
","2010 Audi Q5 3.2 Prestige           Viewed
"
83,"Jamaica, NY",184 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2013 Nissan Rogue SV AWD           Viewed
","Instant Market Value of $15,769","Mileage: 50,004 mi","$11,995 $13,995
 $218/est. mo
","2013 Nissan Rogue SV AWD           Viewed
"
84,"Queens Village, NY",40 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 Dodge Journey SXT           Viewed
","Instant Market Value of $13,790","Mileage: 56,711 mi","$9,995 
 $181/est. mo
","2012 Dodge Journey SXT           Viewed
"
85,"Great Neck, NY",390 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 BMW 4 Series 435xi xDrive           Viewed
","Instant Market Value of $39,728","Mileage: 20,131 mi","$32,890 $35,890
 $596/est. mo
","2014 BMW 4 Series 435xi xDrive           Viewed
"
86,"Morganville, NJ",163 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 GMC Acadia SLE           Viewed
","Instant Market Value of $15,201","Mileage: 88,956 mi","$10,995 
 $200/est. mo
","2011 GMC Acadia SLE           Viewed
"
87,"Jamaica, NY",16 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Mercedes-Benz C-Class C300 Luxury 4MATIC           Viewed
","Instant Market Value of $24,632","Mileage: 16,505 mi","$19,998 
 $363/est. mo
","2013 Mercedes-Benz C-Class C300 Luxury 4MATIC           Viewed
"
88,"Brooklyn, NY",18 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Infiniti G37 xAWD           Viewed
","Instant Market Value of $21,840","Mileage: 35,743 mi","$16,890 
 $306/est. mo
","2013 Infiniti G37 xAWD           Viewed
"
89,"AVENEL, NJ",95 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 GMC Terrain Denali AWD           Viewed
","Instant Market Value of $20,912","Mileage: 91,597 mi","$16,803 
 $305/est. mo
","2013 GMC Terrain Denali AWD           Viewed
"
90,"Jamaica, NY",90 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2008 Subaru Impreza WRX Premium           Viewed
","Instant Market Value of $15,316","Mileage: 84,434 mi","$9,998 
 $181/est. mo
","2008 Subaru Impreza WRX Premium           Viewed
"
91,"Parsippany, NJ",48 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Subaru Impreza 2.0i           Viewed
","Instant Market Value of $16,313","Mileage: 31,323 mi","$12,990 
 $236/est. mo
","2014 Subaru Impreza 2.0i           Viewed
"
92,"Jamaica, NY",80 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Chevrolet Malibu LT2           Viewed
","Instant Market Value of $13,660","Mileage: 58,577 mi","$9,999 
 $182/est. mo
","2013 Chevrolet Malibu LT2           Viewed
"
93,"Jamaica, NY",23 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 Nissan Rogue S AWD           Viewed
","Instant Market Value of $13,827","Mileage: 56,687 mi","$8,995 
 $163/est. mo
","2012 Nissan Rogue S AWD           Viewed
"
94,"Bronx, NY",89 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2008 Cadillac CTS 3.6L DI           Viewed
","Instant Market Value of $16,120","Mileage: 41,311 mi","$10,995 
 $200/est. mo
","2008 Cadillac CTS 3.6L DI           Viewed
"
95,"Long Island City, NY",220 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2016 Mercedes-Benz E-Class E350 4MATIC           Viewed
","Instant Market Value of $56,564","Mileage: 1,225 mi","$44,989 $47,989
 $815/est. mo
","2016 Mercedes-Benz E-Class E350 4MATIC           Viewed
"
96,"Jamaica, NY",291 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Hyundai Santa Fe GLS AWD           Viewed
","Instant Market Value of $12,807","Mileage: 74,604 mi","$8,995 
 $163/est. mo
","2011 Hyundai Santa Fe GLS AWD           Viewed
"
97,"Staten Island, NY",10 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Subaru Impreza 2.0i Hatchback           Viewed
","Instant Market Value of $17,727","Mileage: 3,107 mi","$14,500 
 $263/est. mo
","2013 Subaru Impreza 2.0i Hatchback           Viewed
"
98,"Wayne, NJ",179 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Ford Edge Limited AWD           Viewed
","Instant Market Value of $24,756","Mileage: 29,606 mi","$19,985 
 $362/est. mo
","2013 Ford Edge Limited AWD           Viewed
"
99,"Jamaica, NY",60 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2013 Jeep Grand Cherokee Limited 4WD           Viewed
","Instant Market Value of $27,043","Mileage: 39,616 mi","$22,995 $23,999
 $417/est. mo
","2013 Jeep Grand Cherokee Limited 4WD           Viewed
"
100,"Morganville, NJ",38 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Ford Mustang V6 Convertible           Viewed
","Instant Market Value of $12,087","Mileage: 86,215 mi","$7,999 $8,995
 $145/est. mo
","2010 Ford Mustang V6 Convertible           Viewed
"
101,"Jersey City, NJ",48 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2015 Chevrolet Camaro 2SS           Viewed
","Instant Market Value of $32,877","Mileage: 3,077 mi","$27,388 $42,995
 $496/est. mo
","2015 Chevrolet Camaro 2SS           Viewed
"
102,"Jersey City, NJ",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2013 Chevrolet Captiva Sport LTZ           Viewed
","Instant Market Value of $14,508","Mileage: 58,259 mi","$10,999 
 $200/est. mo
","2013 Chevrolet Captiva Sport LTZ           Viewed
"
103,"Jamaica, NY",209 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Ford Fusion SE           Viewed
","Instant Market Value of $15,815","Mileage: 33,390 mi","$11,999 
 $218/est. mo
","2013 Ford Fusion SE           Viewed
"
104,"Teterboro, NJ",73 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2012 Toyota Tundra SR5 Double Cab 4.6L           Viewed
","Instant Market Value of $22,527","Mileage: 60,999 mi","$18,295 
 $332/est. mo
","2012 Toyota Tundra SR5 Double Cab 4.6L           Viewed
"
105,"Jamaica, NY",79 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2012 Nissan Rogue SV w/ SL AWD           Viewed
","Instant Market Value of $18,642","Mileage: 14,427 mi","$14,995 $15,995
 $272/est. mo
","2012 Nissan Rogue SV w/ SL AWD           Viewed
"
106,"Little Falls, NJ",32 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Scion xB            Viewed
","Instant Market Value of $14,591","Mileage: 25,590 mi","$10,977 $12,054
 $199/est. mo
","2013 Scion xB            Viewed
"
107,"Bronx, NY",59 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Chrysler Town & Country LX           Viewed
","Instant Market Value of $8,978","Mileage: 108,401 mi","$5,000 
 $91/est. mo
","2010 Chrysler Town & Country LX           Viewed
"
108,"Jersey City, NJ",7 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 GMC Acadia Denali AWD           Viewed
","Instant Market Value of $20,328","Mileage: 107,427 mi","$15,990 
 $290/est. mo
","2011 GMC Acadia Denali AWD           Viewed
"
109,"Freeport, NY",89 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Cadillac SRX Base           Viewed
","Instant Market Value of $19,441","Mileage: 46,036 mi","$14,995 
 $272/est. mo
","2011 Cadillac SRX Base           Viewed
"
110,"Irvington, NJ",15 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Hyundai Elantra Limited           Viewed
","Instant Market Value of $10,132","Mileage: 77,068 mi","$6,495 $6,995
 $118/est. mo
","2011 Hyundai Elantra Limited           Viewed
"
111,"Richmond Hill, NY",12 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Mercedes-Benz C-Class C300 Luxury 4MATIC           Viewed
","Instant Market Value of $23,783","Mileage: 23,985 mi","$18,980 
 $344/est. mo
","2013 Mercedes-Benz C-Class C300 Luxury 4MATIC           Viewed
"
112,"Flushing, NY",445 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2010 Porsche Boxster Base           Viewed
","Instant Market Value of $31,892","Mileage: 24,000 mi","$26,995 
 $489/est. mo
","2010 Porsche Boxster Base           Viewed
"
113,"Sayville, NY",13 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Jeep Cherokee Limited 4WD           Viewed
","Instant Market Value of $25,105","Mileage: 21,180 mi","$20,988 
 $380/est. mo
","2014 Jeep Cherokee Limited 4WD           Viewed
"
114,"Morganville, NJ",132 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 BMW X3 xDrive28i           Viewed
","Instant Market Value of $23,158","Mileage: 37,695 mi","$17,995 
 $326/est. mo
","2011 BMW X3 xDrive28i           Viewed
"
115,"Oceanside, NY",5 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2009 Mercedes-Benz S-Class S550 4MATIC           Viewed
","Instant Market Value of $29,656","Mileage: 54,589 mi","$22,995 
 $417/est. mo
","2009 Mercedes-Benz S-Class S550 4MATIC           Viewed
"
116,"East Windsor, NJ",54 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2013 Buick Encore Leather Group AWD           Viewed
","Instant Market Value of $20,436","Mileage: 32,375 mi","$16,688 
 $303/est. mo
","2013 Buick Encore Leather Group AWD           Viewed
"
117,"Brooklyn, NY",32 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 Nissan Maxima SV           Viewed
","Instant Market Value of $17,561","Mileage: 44,770 mi","$12,690 $13,590
 $230/est. mo
","2012 Nissan Maxima SV           Viewed
"
118,"Ramsey, NJ",59 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2013 Lexus ES 350 Base           Viewed
","Instant Market Value of $27,799","Mileage: 35,446 mi","$22,900 $28,000
 $415/est. mo
","2013 Lexus ES 350 Base           Viewed
"
