,address,days_listed,dealer_rating,make,market_price,mileage,price,year
1260,"Albany, NY",45 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2008 Honda Accord EX-L V6           Viewed
","Instant Market Value of $11,188","Mileage: 90,280 mi","$9,494 
 $172/est. mo
","2008 Honda Accord EX-L V6           Viewed
"
1261,"Kingston, NY",24 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2015 Toyota RAV4 XLE AWD           Viewed
","Instant Market Value of $23,249","Mileage: 25,685 mi","$21,551 
 $391/est. mo
","2015 Toyota RAV4 XLE AWD           Viewed
"
1262,"Geneva, NY",47 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2014 Dodge Challenger R/T           Viewed
","Instant Market Value of $24,850","Mileage: 41,241 mi","$22,490 
 $408/est. mo
","2014 Dodge Challenger R/T           Viewed
"
1263,"Oswego, NY",93 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 BMW 3 Series 328i xDrive Coupe SULEV           Viewed
","Instant Market Value of $18,959","Mileage: 51,913 mi","$16,585 
 $301/est. mo
","2011 BMW 3 Series 328i xDrive Coupe SULEV           Viewed
"
1264,"Dickson City, PA",128 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Ford Fusion Titanium           Viewed
","Instant Market Value of $18,689","Mileage: 33,858 mi","$16,988 $17,695
 $308/est. mo
","2013 Ford Fusion Titanium           Viewed
"
1265,"Watervliet, NY",84 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2013 Honda Civic EX           Viewed
","Instant Market Value of $15,159","Mileage: 28,001 mi","$13,900 $14,500
 $252/est. mo
","2013 Honda Civic EX           Viewed
"
1266,"Cicero, NY",70 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2002 Chevrolet Silverado 2500HD 4 Dr LT 4WD Extended Cab SB HD           Viewed
","Instant Market Value of $12,552","Mileage: 85,824 mi","$9,995 
 $181/est. mo
","2002 Chevrolet Silverado 2500HD 4 Dr LT 4WD Extended Cab SB HD           Viewed
"
1267,"Albany, NY",46 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Honda CR-V EX-L AWD           Viewed
","Instant Market Value of $21,725","Mileage: 46,209 mi","$19,995 $21,995
 $362/est. mo
","2014 Honda CR-V EX-L AWD           Viewed
"
1268,"Yorkville, NY",17 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2014 Honda Pilot EX-L w/ DVD 4WD           Viewed
","Instant Market Value of $31,879","Mileage: 25,240 mi","$29,999 
 $544/est. mo
","2014 Honda Pilot EX-L w/ DVD 4WD           Viewed
"
1269,"Scott Township, PA",22 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2005 Toyota Matrix XR AWD           Viewed
","Instant Market Value of $5,099","Mileage: 145,000 mi","$3,995 
 $73/est. mo
","2005 Toyota Matrix XR AWD           Viewed
"
1270,"Kingston, NY",264 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2013 Dodge Durango R/T AWD           Viewed
","Instant Market Value of $33,311","Mileage: 35,407 mi","$30,705 
 $556/est. mo
","2013 Dodge Durango R/T AWD           Viewed
"
1271,"Albany, NY",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Toyota RAV4 Base V6 4WD           Viewed
","Instant Market Value of $15,213","Mileage: 68,534 mi","$13,492 
 $245/est. mo
","2011 Toyota RAV4 Base V6 4WD           Viewed
"
1272,"East Rochester, NY",25 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2015 Ford Expedition EL XLT           Viewed
","Instant Market Value of $35,859","Mileage: 28,503 mi","$32,990 $33,990
 $598/est. mo
","2015 Ford Expedition EL XLT           Viewed
"
1273,"Vestal, NY",19 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2009 Ford F-150            Viewed
","Instant Market Value of $21,603","Mileage: 52,702 mi","$18,499 
 $335/est. mo
","2009 Ford F-150            Viewed
"
1274,"Central Square, NY",< 1 day on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2004 Chevrolet Tahoe LT 4WD           Viewed
","Instant Market Value of $9,045","Mileage: 123,000 mi","$6,995 
 $127/est. mo
","2004 Chevrolet Tahoe LT 4WD           Viewed
"
1275,"Tully, NY",4 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 Chevrolet Equinox LS AWD           Viewed
","Instant Market Value of $15,994","Mileage: 51,542 mi","$14,400 
 $261/est. mo
","2012 Chevrolet Equinox LS AWD           Viewed
"
1276,"Vestal, NY",21 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2011 Chevrolet Cruze 1LT           Viewed
","Instant Market Value of $10,404","Mileage: 66,629 mi","$8,933 
 $162/est. mo
","2011 Chevrolet Cruze 1LT           Viewed
"
1277,"Norwich, NY",59 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2011 Jeep Wrangler Unlimited Sahara           Viewed
","Instant Market Value of $25,550","Mileage: 67,371 mi","$22,995 
 $417/est. mo
","2011 Jeep Wrangler Unlimited Sahara           Viewed
"
1278,"Albany, NY",99 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Nissan Sentra SV           Viewed
","Instant Market Value of $12,604","Mileage: 40,234 mi","$10,995 
 $200/est. mo
","2014 Nissan Sentra SV           Viewed
"
1279,"Albany, NY",23 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2014 Kia Optima Hybrid LX           Viewed
","Instant Market Value of $16,570","Mileage: 18,932 mi","$14,988 
 $272/est. mo
","2014 Kia Optima Hybrid LX           Viewed
"
1280,"Troy, NY",47 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 BMW X5 xDrive35d           Viewed
","Instant Market Value of $31,426","Mileage: 41,765 mi","$28,500 $29,900
 $516/est. mo
","2012 BMW X5 xDrive35d           Viewed
"
1281,"Albany, NY",77 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2012 Chevrolet Silverado 1500 LT Ext. Cab 4WD           Viewed
","Instant Market Value of $21,812","Mileage: 90,200 mi","$19,999 
 $363/est. mo
","2012 Chevrolet Silverado 1500 LT Ext. Cab 4WD           Viewed
"
1282,"Athens, PA",140 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2015 Ford Taurus Limited           Viewed
","Instant Market Value of $21,277","Mileage: 29,186 mi","$18,995 
 $344/est. mo
","2015 Ford Taurus Limited           Viewed
"
1283,"Binghamton, NY",23 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i></span>","2006 Acura TL            Viewed
","Instant Market Value of $9,681","Mileage: 95,000 mi","$7,995 $8,295
 $145/est. mo
","2006 Acura TL            Viewed
"
1284,"Kingston, NY",11 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2013 Hyundai Elantra GLS           Viewed
","Instant Market Value of $12,801","Mileage: 34,737 mi","$11,400 
 $207/est. mo
","2013 Hyundai Elantra GLS           Viewed
"
1285,"Sodus, NY",91 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2015 Ford Escape SE 4WD           Viewed
","Instant Market Value of $21,147","Mileage: 10,494 mi","$18,995 
 $344/est. mo
","2015 Ford Escape SE 4WD           Viewed
"
1286,"Sidney, NY",186 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2013 Toyota RAV4 LE AWD           Viewed
","Instant Market Value of $18,421","Mileage: 41,800 mi","$16,975 $17,775
 $308/est. mo
","2013 Toyota RAV4 LE AWD           Viewed
"
1287,"Ithaca, NY",25 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Mercedes-Benz C-Class            Viewed
","Instant Market Value of $24,386","Mileage: 27,214 mi","$21,999 
 $399/est. mo
","2013 Mercedes-Benz C-Class            Viewed
"
1288,"Scott Township, PA",3 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2006 Hyundai Tucson GLS 4WD           Viewed
","Instant Market Value of $6,789","Mileage: 113,000 mi","$5,495 
 $100/est. mo
","2006 Hyundai Tucson GLS 4WD           Viewed
"
1289,"Oswego, NY",407 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2012 Ford Fusion SEL           Viewed
","Instant Market Value of $13,173","Mileage: 50,257 mi","$11,385 
 $207/est. mo
","2012 Ford Fusion SEL           Viewed
"
1290,"Monticello, NY",21 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2016 Chevrolet Trax LT AWD           Viewed
","Instant Market Value of $20,013","Mileage: 19,995 mi","$17,995 
 $326/est. mo
","2016 Chevrolet Trax LT AWD           Viewed
"
1291,"Pulaski, NY",142 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2016 Cadillac Escalade Premium AWD           Viewed
","Instant Market Value of $80,719","Mileage: 4,520 mi","$74,988 
 $1,358/est. mo
","2016 Cadillac Escalade Premium AWD           Viewed
"
1292,"Apalachin, NY",328 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2015 Chevrolet Corvette Stingray 3LT           Viewed
","Instant Market Value of $53,685","Mileage: 19,000 mi","$49,500 
 $897/est. mo
","2015 Chevrolet Corvette Stingray 3LT           Viewed
"
1293,"Troy, NY",108 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2013 Infiniti JX35 Base AWD           Viewed
","Instant Market Value of $31,215","Mileage: 48,025 mi","$28,900 $29,900
 $524/est. mo
","2013 Infiniti JX35 Base AWD           Viewed
"
1294,"Schenectady, NY",45 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Chevrolet Corvette Grand Sport 3LT           Viewed
","Instant Market Value of $44,183","Mileage: 16,123 mi","$40,873 
 $740/est. mo
","2013 Chevrolet Corvette Grand Sport 3LT           Viewed
"
1295,"Whitney Point, NY",10 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2010 GMC Sierra 1500 Work Truck Ext. Cab 4WD           Viewed
","Instant Market Value of $11,654","Mileage: 165,000 mi","$9,995 
 $181/est. mo
","2010 GMC Sierra 1500 Work Truck Ext. Cab 4WD           Viewed
"
1296,"Liverpool, NY",182 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2012 Chevrolet Equinox LTZ AWD           Viewed
","Instant Market Value of $18,783","Mileage: 45,190 mi","$16,995 
 $308/est. mo
","2012 Chevrolet Equinox LTZ AWD           Viewed
"
1297,"Ellenville, NY",140 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2007 Dodge Ram 1500 SLT 4WD           Viewed
","Instant Market Value of $10,404","Mileage: 108,763 mi","$8,499 
 $154/est. mo
","2007 Dodge Ram 1500 SLT 4WD           Viewed
"
1298,"Scranton, PA",144 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue"">none</span>","2013 Ford F-150 FX4 SuperCrew 4WD           Viewed
","Instant Market Value of $34,634","Mileage: 24,911 mi","$31,599 
 $573/est. mo
","2013 Ford F-150 FX4 SuperCrew 4WD           Viewed
"
1299,"Wysox, PA",176 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2014 Ford Focus SE Hatchback           Viewed
","Instant Market Value of $12,561","Mileage: 33,532 mi","$10,990 
 $199/est. mo
","2014 Ford Focus SE Hatchback           Viewed
"
1300,"Palmyra, NY",8 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i><i class=""cg-icon cg-listingSearch-star_disabled""></i></span>","2013 Honda Civic EX           Viewed
","Instant Market Value of $15,233","Mileage: 24,000 mi","$13,900 $14,700
 $252/est. mo
","2013 Honda Civic EX           Viewed
"
1301,"East Syracuse, NY",23 days on CarGurus,"<span class=""cg-dealFinder-result-sellerRatingValue""><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star""></i><i class=""cg-icon cg-listingSearch-star_half""></i></span>","2010 Mazda CX-9 Sport AWD           Viewed
","Instant Market Value of $13,637","Mileage: 85,597 mi","$11,995 
 $218/est. mo
","2010 Mazda CX-9 Sport AWD           Viewed
"
